Kamloops,Kamloops,Canada,YKA,CYKA,50.702222,-120.444444,1133,-8,A,America/Vancouver
Waterloo,Waterloo,Canada,YKF,CYKF,43.460833,-80.378611,1054,-5,A,America/Toronto
Schefferville,Schefferville,Canada,YKL,CYKL,54.805278,-66.805278,1709,-5,A,America/Toronto
Kindersley,Kindersley,Canada,YKY,CYKY,51.5175,-109.180833,2277,-6,N,America/Regina
Chapleau,Chapleau,Canada,YLD,CYLD,47.82,-83.346667,1470,-5,A,America/Toronto
Meadow Lake,Meadow Lake,Canada,YLJ,CYLJ,54.125278,-108.522778,1576,-6,N,America/Regina
Lloydminster,Lloydminster,Canada,YLL,CYLL,53.309166,-110.0725,2193,-7,A,America/Edmonton
Alert,Alert,Canada,YLT,CYLT,82.517778,-62.280556,100,-5,A,America/Toronto
Kelowna,Kelowna,Canada,YLW,CYLW,49.956112,-119.377778,1409,-8,A,America/Vancouver
Mayo,Mayo,Canada,YMA,CYMA,63.616389,-135.868333,1653,-8,A,America/Vancouver
Moose Jaw Air Vice Marshal C M Mcewen,Moose Jaw,Canada,YMJ,CYMJ,50.330278,-105.559167,1892,-6,N,America/Regina
Fort Mcmurray,Fort Mcmurray,Canada,YMM,CYMM,56.653333,-111.221944,1211,-7,A,America/Edmonton
Moosonee,Moosonee,Canada,YMO,CYMO,51.291111,-80.607778,30,-5,A,America/Toronto
Maniwaki,Maniwaki,Canada,YMW,CYMW,46.272778,-75.990556,656,-5,A,America/Toronto
Natashquan,Natashquan,Canada,YNA,CYNA,50.19,-61.789167,39,-5,A,America/Toronto
Gatineau,Gatineau,Canada,YND,CYND,45.521694,-75.563589,211,-5,A,America/Toronto
Matagami,Matagami,Canada,YNM,CYNM,49.761667,-77.802778,918,-5,A,America/Toronto
Old Crow,Old Crow,Canada,YOC,CYOC,67.570556,-139.839167,824,-8,A,America/Vancouver
Cold Lake,Cold Lake,Canada,YOD,CYOD,54.404999,-110.279444,1775,-7,A,America/Edmonton
High Level,High Level,Canada,YOJ,CYOJ,58.621389,-117.164722,1110,-7,A,America/Edmonton
Ottawa Macdonald Cartier Intl,Ottawa,Canada,YOW,CYOW,45.3225,-75.669167,374,-5,A,America/Toronto
Prince Albert Glass Field,Prince Albert,Canada,YPA,CYPA,53.214167,-105.672778,1405,-6,N,America/Regina
Peace River,Peace River,Canada,YPE,CYPE,56.226944,-117.447222,1873,-7,A,America/Edmonton
Southport,Portage-la-prairie,Canada,YPG,CYPG,49.903056,-98.273889,885,-6,A,America/Winnipeg
Pickle Lake,Pickle Lake,Canada,YPL,CYPL,51.446388,-90.214167,1267,-5,A,America/Coral_Harbour
Port Menier,Port Menier,Canada,YPN,CYPN,49.836389,-64.288611,167,-5,A,America/Toronto
Peterborough,Peterborough,Canada,YPQ,CYPQ,44.23,-78.363333,628,-5,A,America/Toronto
Prince Rupert,Prince Pupert,Canada,YPR,CYPR,54.28611,-130.444722,116,-8,A,America/Vancouver
Fort Chipewyan,Fort Chipewyan,Canada,YPY,CYPY,58.767223,-111.117222,761,-7,A,America/Edmonton
Muskoka,Muskoka,Canada,YQA,CYQA,44.974722,-79.303333,925,-5,A,America/Toronto
Quebec Jean Lesage Intl,Quebec,Canada,YQB,CYQB,46.791111,-71.393333,244,-5,A,America/Toronto
Red Deer Regional,Red Deer Industrial,Canada,YQF,CYQF,52.182222,-113.894444,2968,-7,A,America/Edmonton
Windsor,Windsor,Canada,YQG,CYQG,42.275556,-82.955556,622,-5,A,America/Toronto
Watson Lake,Watson Lake,Canada,YQH,CYQH,60.116389,-128.8225,2255,-8,A,America/Vancouver
Kenora,Kenora,Canada,YQK,CYQK,49.788334,-94.363056,1332,-6,A,America/Winnipeg
Lethbridge,Lethbridge,Canada,YQL,CYQL,49.630278,-112.799722,3047,-7,A,America/Edmonton
Greater Moncton Intl,Moncton,Canada,YQM,CYQM,46.112221,-64.678611,232,-4,A,America/Halifax
Comox,Comox,Canada,YQQ,CYQQ,49.710833,-124.886667,84,-8,A,America/Vancouver
Regina Intl,Regina,Canada,YQR,CYQR,50.431944,-104.665833,1894,-6,N,America/Regina
Thunder Bay,Thunder Bay,Canada,YQT,CYQT,48.371944,-89.323889,653,-5,A,America/Toronto
Grande Prairie,Grande Prairie,Canada,YQU,CYQU,55.179722,-118.885,2195,-7,A,America/Edmonton
Yorkton Muni,Yorkton,Canada,YQV,CYQV,51.264721,-102.461667,1635,-6,N,America/Regina
North Battleford,North Battleford,Canada,YQW,CYQW,52.769167,-108.24361,1799,-6,N,America/Regina
Gander Intl,Gander,Canada,YQX,CYQX,48.936944,-54.568056,496,-3.5,A,America/St_Johns
Sydney,Sydney,Canada,YQY,CYQY,46.161388,-60.047779,203,-4,A,America/Halifax
Quesnel,Quesnel,Canada,YQZ,CYQZ,53.026112,-122.510278,1789,-8,A,America/Vancouver
Resolute Bay,Resolute,Canada,YRB,CYRB,74.716944,-94.969444,215,-6,A,America/Winnipeg
Riviere Du Loup,Riviere Du Loup,Canada,YRI,CYRI,47.764444,-69.584722,427,-5,A,America/Toronto
Roberval,Roberval,Canada,YRJ,CYRJ,48.52,-72.265556,586,-5,A,America/Toronto
Rocky Mountain House,Rocky Mountain House,Canada,YRM,CYRM,52.429722,-114.904167,3244,-7,A,America/Edmonton
Rankin Inlet,Rankin Inlet,Canada,YRT,CYRT,62.81139,-92.115833,94,-6,A,America/Winnipeg
Sudbury,Sudbury,Canada,YSB,CYSB,46.625,-80.798889,1141,-5,A,America/Toronto
